Merging the first and second columns, and adding the merged column an ".Ti=" or ".sec=" after the number.

"1.Ti=Communication à des tiers ",,,,,
"8.4.sec=Mise à disposition publique pour référencement et agrégation ( avec opt-out) ","Yahoo, Allociné, Tumblr, Medium, Spotify, Facebook, Viadeo","automatically shares your data with many other services",,
"9.Ti=Collecte données de localisation ",,,,,
"9.1.sec=Pas de collecte de données de localisation ",,,,
"9.2.sec=Uniquement pour et pendant la fourniture de service ","Orange",,,
"9.3.sec=Mise à disposition des partenaires pour référencement et agrégation (avec opt-in) ","Google, Apple, Twitter",,,
"9.4.sec=Publication automatique / poursuite de la collecte dans le temps après l’activation / concession de licence d’exploitation perpétuelle ","Spyce , Foursquare",,,
"10.Ti=Collecte données du terminal ",,,,,
"10.1.sec=Aucune collecte ",,,,
"10.2.sec=Collecte des données de profilage et des données techniques pour la fourniture du service ","Amazon, DailyMotion, Vine, Allo Resto, Twitter",,,
"10.3.sec=Collecte des données de profilage et des données personnelles pour la fourniture du service ","Apple Genius, Kayak, Hubic , Snapchat, Facebook, Google, Paypal",,,
"11.Ti=Cookies ",,,,,
"11.1.sec=Opt-in pour  le dépôt de cookies ",,"does not require cookies to function / No tracking",,
"11.2.sec=Opt-out : Droit pour les internautes de refuser les cookies ","Vine,  Hubic, LastPass, BlaBlacar","uses temporary session cookies ",,"tracking "
"11.3.sec=Opt-out : Droit pour les internautes de refuser les cookies mais fonctionnement dégradé du service ","Twitter, DailyMotion, VentePrivee, TomTom, Deezer, Linkedin, HomeBubble, Rue du Commerce, Booking, eBay, TripAdvisor, Uber, Viber, Spotify, Viadeo, Apple, Boursorama","uses temporary session cookies ",,"tracking "
"11.4.sec=Utilisation obligatoire et possible association avec des données personnelles pour permettre le fonctionnement du service ","Airbnb , Whatsapp, AlloCiné, Tumblr, Medium, Google","Non-transparent use of cookies and third party ads",,"tracking "
"12.Ti=Pixels espion ",,,,,
"12.1.sec=Pas d’utilisation ",,,,
"12.2.sec=Pour connaître le taux d’ouverture des courriels ou pour finalités légitimes explicitement déterminées ","Skype, Amazon, Groupon, Couchsurfing, Blablacar, Booking, Spotify, Facebook, Apple, Google, Paypal",,,"tracking "
"12.3.sec=Implémentation sans transparence ni précision sur les finalités ","Airbnb , Snapchat, Steam, Viber, Kayak, Instagram","Non-transparent use of cookies and third party ads ",,"tracking "
"13.Ti=Conservation des données ",,,,,
"13.1.sec=Pas de conservation des données ",,,,
"13.2.sec=Seuls les journaux nécessaires et les informations de débogage sont conservés",,"Only the necessary logs and debug information are kept ",,
"13.3.sec=peut conserver vos données après la désactivation à des fins commerciales légitimes",,"may retain your data after deactivation for legitimate business purposes ",,"Retention Period "
"13.4.sec=vous accordez une licence perpétuelle sur vos données collectées ",,"You grant perpetual license to anything you publish ",,"Retention Period "
"14.Ti=Délai de conservation des données et d'anonymisation ",,,,,
"14.1.sec=Pas de conservation des données ",,,,
"14.2.sec=Conservation des données 3 mois après la suppression du compte ",,,,
"14.3.sec=Conservation des données plus de 6 mois après la suppression du compte ","DailyMotion ( 1an), Twitter ( 18 mois), Facebook, Kayak, Netflik, Instagram, ",,,
"15.Ti=Suppression du compte ",,,,,
"15.1.sec=Suppression du compte à la demande",,," arrêt à la demande ",
"15.2.sec=Menu de suppression caché dans la politique de confidentialité",,,"Menu de suppression caché dans la politique de confidentialité ",
"15.3.sec=L'opérateur peut supprimer le compte à sa discrétion ",,"may close your account at their sole discretion ",,
"15.4.sec=Vous ne pouvez pas supprimer votre compte ",,"You cannot delete your account ","Aucune résiliation possible ",
"16.Ti=Indications en cas de faille de sécurité notée par le fournisseur de contenus",,,,,
"16.2.sec=Information de l’utilisateur en cas de faille de sécurité","WhatsApp","warns you if emergency maintenance is happening ",,
"16.3.sec=Pas d’information de l’utilisateur en cas de faille de sécurité ou éxonération de toute responsabilité","eBay, Spotify, Soundhound, Snapchat, Apple",,,
"17.Ti=Transfert des DP sous loi américaine ",,,,,
"17.1.sec=Pas de transfert extra-territorial","Blablacar",,,
"17.2.sec=Application des principes de Safe Harbor","Couchsurfing, Valve, eBay, Apple, Kayak, Google, Uber",,"Utilisation des données aux États-Unis ",
"17.3.sec=Pas d'adhésion aux EU Safe Harbor","Trip Advisor , Snapchat, ",,"Utilisation des données aux États-Unis ",
"18.Ti=Modification des CGU et de la politique de confidentialité ",,,,,
"18.1.sec=Consentement préalable des personnes concernées","HomeBubble",,,
"18.2.sec=Engagement de ne pas baisser le niveau de confidentialité de manière substantielle sans l'information  préalable des personnes concernées ","Amazon,  Snapchat, TrpAdvisor, Uber",," Communication des principaux changements de CGU ",
"18.3.sec=Changement régulier sans information préalable de l'utilisateur ","Tumblr, Viber, Sounhound, Spotify, ","Terms may be changed any time at their discretion, without notice to the user ","Modifications à tout moment des CGU ",
